time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-05-12T00:15:19.600Z,38.8426666,-122.8773346,2.54,1.19,md,20,91,0.006521,0.02,nc,nc73886776,2023-05-12T00:16:54.291Z,"13km NW of The Geysers, CA",earthquake,0.28,0.47,0.17,21,automatic,nc,nc
2023-05-12T00:10:17.550Z,40.2078323,-121.116333,-0.38,2.33,md,8,148,0.3172,0.17,nc,nc73886771,2023-05-12T00:17:11.468Z,"3km E of Prattville, CA",earthquake,1.23,14.92,0.04,4,automatic,nc,nc
2023-05-12T00:06:55.520Z,40.2190018,-121.1526642,-1.3,3.03,ml,48,48,0.3317,0.35,nc,nc73886766,2023-05-12T00:14:10.453Z,"1km NNE of Prattville, CA",earthquake,0.46,2.01,0.243,15,automatic,nc,nc
2023-05-11T23:49:15.040Z,37.9906654,-118.6658325,4.37,1.8,md,15,133,0.2785,0.04,nc,nc73886761,2023-05-11T23:58:10.361Z,"37km SSW of Qualeys Camp, NV",earthquake,0.84,8.21,0.19,10,automatic,nc,nc
2023-05-11T23:45:14.890Z,40.2243347,-121.1476669,-1.18,2.56,md,21,76,0.3254,0.15,nc,nc73886756,2023-05-12T00:12:17.040Z,"2km NNE of Prattville, CA",earthquake,0.37,2.42,0.08,15,automatic,nc,nc
2023-05-11T23:38:29.900Z,40.1943321,-121.0943298,-0.31,2.75,md,23,53,0.3143,0.21,nc,nc73886751,2023-05-11T23:59:57.040Z,"3km NNW of Canyondam, CA",earthquake,0.4,3.3,0.11,13,automatic,nc,nc
2023-05-11T23:34:53.690Z,40.2200012,-121.1011658,0,2.5,md,16,123,0.3005,0.25,nc,nc73886746,2023-05-11T23:49:20.432Z,"3km SW of East Shore, CA",earthquake,0.82,6.64,0.11,11,automatic,nc,nc
2023-05-11T23:32:59.110Z,38.8134995,-122.796669,1.76,0.95,md,13,74,0.005626,0.01,nc,nc73886741,2023-05-11T23:49:19.734Z,"5km NW of The Geysers, CA",earthquake,0.27,0.6,0.2,15,automatic,nc,nc
2023-05-11T23:29:42.920Z,40.2036667,-121.1096649,-0.82,2.83,md,20,73,0.3163,0.18,nc,nc73886736,2023-05-11T23:42:47.040Z,"4km E of Prattville, CA",earthquake,0.37,3.7,0.23,14,automatic,nc,nc
2023-05-11T23:21:56.113Z,65.393,-144.7847,0,1.7,ml,,,,0.81,ak,ak02361181yz,2023-05-11T23:23:35.907Z,"20 km S of Central, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-05-11T23:21:29.462Z,61.4901,-152.2668,122.4,1.8,ml,,,,0.49,ak,ak0236117zvy,2023-05-11T23:23:56.576Z,"72 km SW of Skwentna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2023-05-11T23:19:41.740Z,40.2158318,-121.1088333,-1.5,5.49,mw,218,44,0.3076,0.66,nc,nc73886731,2023-05-12T00:16:44.292Z,"4km SW of East Shore, CA",earthquake,0.5,1.78,,3,reviewed,nc,nc
2023-05-11T23:15:31.460Z,38.8305016,-122.8138351,1.72,1.4,md,27,42,0.00768,0.05,nc,nc73886726,2023-05-12T00:15:19.753Z,"8km NW of The Geysers, CA",earthquake,0.19,0.35,0.2,27,automatic,nc,nc
2023-05-11T23:06:17.170Z,19.4098339080811,-155.27799987793,0.600000023841858,2.25,md,11,104,,0.140000001,hv,hv73397147,2023-05-11T23:09:07.220Z,"5 km SW of Volcano, Hawaii",earthquake,0.26,0.370000005,1.41999996,10,automatic,hv,hv
